,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
10701,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,1333616177351.0,1248892387095.0,1186580361513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10702,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,784132676786.0,715144891726.0,680096651635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10703,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,148760151625.0,117497209603.0,114165017089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10704,entity00855093_udf_BS_2017103016568160_CurrentLiabilities,단기차입부채,Loans and borrowings (Currnet),재무상태표 [abstract],부채 [abstract],유동부채,단기차입부채,578912051160.0,551949448198.0,525344152639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10705,entity00855093_udf_BS_2020323145247782_CurrentLiabilities,단기리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,단기리스부채,8330513643.0,10690296536.0,5655203759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10706,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,1038078213.0,1077211891.0,2516735999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10707,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,13742478888.0,8185880529.0,9824294806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10708,ifrs-full_CurrentProvisions,유동충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,,464000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10709,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,33349403257.0,25280844969.0,22591247343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10710,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,108861550240.0,118883465747.0,126682728345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10711,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,193948959.0,188462641.0,272164417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10712,entity00855093_udf_BS_2017103017322134_NoncurrentLiabilities,장기차입부채,Loans and Borrowings (Non-current),재무상태표 [abstract],부채 [abstract],비유동부채,장기차입부채,46906861834.0,58040618425.0,67783420110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10713,entity00855093_udf_BS_2020323145352446_NoncurrentLiabilities,장기리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기리스부채,53655959489.0,51837301732.0,47638341205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10714,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,4905382696.0,5269077144.0,4124311581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10715,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,628126195.0,913389886.0,1716613519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10716,entity00855093_udf_BS_2017103016591613_NoncurrentLiabilities,확정급여부채,Defined benefits liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여부채,1726258788.0,1613482696.0,4199905826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10717,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,845012279.0,1021133223.0,947971687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10718,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,892994227026.0,834028357473.0,806779379980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10719,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,424007572960.0,398198710024.0,365987116265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10720,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,11889802000.0,11889802000.0,11889802000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10721,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,61233713557.0,61233713557.0,61620989879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10722,entity00855093_udf_BS_2017103017018613_EquityAttributableToOwnersOfParent,자본조정,Capital adjuestments,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본조정,-3643200.0,-3643200.0,-3643200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10723,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-10443949142.0,-12414602158.0,-14895410920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10724,ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),361331649745.0,337493439825.0,307375378506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10725,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,16614377365.0,16665319598.0,13813865268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10726,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,440621950325.0,414864029622.0,379800981533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10727,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,1333616177351.0,1248892387095.0,1186580361513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10728,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,130960147832.0,120148929170.0,124702910939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10729,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,9672921758.0,11951240785.0,12151033331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10730,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,77959355998.0,66838251034.0,77470845019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,2460346771.0,3270103018.0,2211886743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,38515543853.0,38089332063.0,32869143576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733,entity00428321_udf_BS_2023328103720247_CurrentAssets,반품제품회수권,Return product coupon,재무상태표 [abstract],자산 [abstract],유동자산,반품제품회수권,2351977182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,2270.0,2270.0,2270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,560294807315.0,534707513881.0,496469459440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736,entity00428321_udf_BS_2018513203929468_NoncurrentAssets,기타포괄손익-공정가치금융자산,Other Comprehensive income-Fair Value Financial Assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치금융자산,2395920000.0,2137000000.0,1845880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,2197471182.0,549723943.0,544946876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10738,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업투자,"Investments in subsidiaries, joint ventures and associates",재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,3933510189.0,3514150532.0,3257708262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739,ifrs-full_InvestmentAccountedForUsingEquityMethod,공동지배기업투자,Investments accounted for using equity method,재무상태표 [abstract],자산 [abstract],비유동자산,공동지배기업투자,19933639822.0,20922971388.0,20823080851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10740,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타채권,5452112050.0,6463228989.0,5383383250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,203892236.0,263338816.0,309416034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,380863389821.0,348687333523.0,313810628803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10743,dart_GoodwillGross,영업권및무형자산,"Goodwill, gross Intangible assets",재무상태표 [abstract],자산 [abstract],비유동자산,영업권및무형자산,117791000304.0,121966665089.0,122138627405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744,entity00428321_udf_BS_2019513145825763_NoncurrentAssets,사용권자산,Licensed assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,8885936876.0,11421630263.0,8770649170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10745,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,16210443442.0,16676031470.0,17183104312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,2427491393.0,2105439868.0,2402034477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,691254955147.0,654856443051.0,621172370379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10748,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,272667311688.0,252505720952.0,205631047165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10749,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,86630261455.0,63918254176.0,60183259582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,110067419760.0,117664680763.0,63017410072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10751,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,6422004363.0,3314276190.0,5534925718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10752,dart_CurrentProvisionsForReturnedGoods,환불부채,Current provisions for returned goods,재무상태표 [abstract],부채 [abstract],유동부채,환불부채,9945412404.0,7544992897.0,8750049897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10753,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성사채,44989041916.0,49962918883.0,44980331947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10754,entity00428321_udf_BS_2019513103715217_CurrentLiabilities,유동성리스부채,Liquidity lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,5213539422.0,5977330514.0,2970311144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10755,entity00428321_udf_BS_2023328103917251_CurrentLiabilities,충당부채,provision,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,3890000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10756,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,,,502550000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10757,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,5509632368.0,4123267529.0,19692208805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10758,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,164721999981.0,142596410102.0,151825783280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10759,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,1000000000.0,1000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10760,dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,사채,111668225656.0,84804390489.0,94805712668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10761,dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,3778159002.0,7445253572.0,7589032545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10762,dart_PostemploymentBenefitObligations,확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여부채,42170847115.0,42178049932.0,41860403213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10763,ifrs-full_NoncurrentLeaseLiabilities,비유동성리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동성리스부채,3714085410.0,4704474284.0,5140650490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10764,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,2390682798.0,2464241825.0,2429984364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10765,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,437389311669.0,395102131054.0,357456830445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10766,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주 지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,,252893739417.0,258869020750.0,262913201808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10767,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,자본금,14558411000.0,14558411000.0,14558411000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10768,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,자본잉여금,120336971364.0,120336971364.0,120336971364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10769,dart_ElementsOfOtherStockholdersEquity,기타자본,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,기타자본,-46776787948.0,-46776787948.0,-46776787948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10770,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,기타포괄손익누계액,-62356285.0,-286739824.0,-515241219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10771,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주 지분,이익잉여금,164837501286.0,171037166158.0,175309848611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10772,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,971904061.0,885291247.0,802338126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10773,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,253865643478.0,259754311997.0,263715539934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10774,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,691254955147.0,654856443051.0,621172370379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10775,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,150779319919.0,178217590852.0,183572764524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10776,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,43444408967.0,70048502530.0,42055937507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10777,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타유동채권,50710345843.0,52088606241.0,79565842169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10778,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치금융자산,,1004404348.0,144089362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10779,dart_CurrentDerivativeAsset,유동파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,유동파생상품자산,31805734.0,450328450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10780,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,28369879251.0,9604431038.0,9548573752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10781,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,22937893368.0,40254563839.0,33362238432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
